question_id,question,choices,correct_answer,rationale,difficulty
548a4929,"ID: 548a4929
The function  is deﬁned by 
. The graph of 
 in the xy-plane has an x-intercept at 
 and a y-
intercept at 
, where  and  are constants. What is the value of 
?","['A.', 'B.', 'C.', 'D. \nID: 548a4929 Answer']",A,"Choice A is correct. The x-intercept of a graph in the xy-plane is the point on the graph where 
. It's given that function 
is deﬁned by 
. Therefore, the equation representing the graph of 
 is 
. Substituting 
for  in the equation 
 yields 
. Subtracting 
 from both sides of this equation yields 
.
Dividing both sides of this equation by  yields 
. Therefore, the x-intercept of the graph of 
 in the xy-plane
is 
. It's given that the x-intercept of the graph of 
 is 
. Therefore, 
. The y-intercept of a graph in
the xy-plane is the point on the graph where 
. Substituting  for  in the equation 
 yields 
,
or 
. Therefore, the y-intercept of the graph of 
 in the xy-plane is 
. It's given that the y-intercept of the
graph of 
 is 
. Therefore, 
. If 
 and 
, then the value of 
 is 
, or 
.
Choice B is incorrect. This is the value of , not 
.
Choice C is incorrect and may result from conceptual or calculation errors.
Choice D is incorrect. This is the value of 
, not 
.
Question Diﬃculty: Medium
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear functions
Diﬃculty",
9bbce683,"ID: 9bbce683
For line , the table shows three values of  and their corresponding values of . Line  is the result of translating line 
down  units in the xy-plane. What is the x-intercept of line ?","['A.', 'B.', 'C.', 'D. \nID: 9bbce683 Answer']",D,"Choice D is correct. The equation of line  can be written in slope-intercept form 
, where 
 is the slope of the
line and 
 is the y-intercept of the line. It’s given that line  contains the points 
, 
, and 
.
Therefore, its slope 
 can be found as 
, or . Substituting  for 
 in the equation 
 yields 
.
Substituting 
 for  and 
 for  in this equation yields 
, or 
. Subtracting 
 from both
sides of this equation yields 
. Substituting 
 for  in 
 yields 
. Since line  is the result of
translating line  down  units, an equation of line  is 
, or 
. Substituting  for  in this
equation yields 
. Solving this equation for  yields 
. Therefore, the x-intercept of line  is 
.
Choice A is incorrect and may result from conceptual or calculation errors.
Choice B is incorrect and may result from conceptual or calculation errors.
Choice C is incorrect and may result from conceptual or calculation errors.
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
2b15d65f,"ID: 2b15d65f
An economist modeled the demand Q for a certain product as a linear function of
the selling price P. The demand was 20,000 units when the selling price was $40
per unit, and the demand was 15,000 units when the selling price was $60 per unit.
Based on the model, what is the demand, in units, when the selling price is $55 per
unit?","['A. 16,250', 'B. 16,500', 'C. 16,750', 'D. 17,500\nID: 2b15d65f Answer']",A,"Choice A is correct. Let the economist’s model be the linear function 
, where Q is the demand, P is the selling
price, m is the slope of the line, and b is the y-coordinate of the y-intercept of the line in the xy-plane, where 
. Two pairs
of the selling price P and the demand Q are given. Using the coordinate pairs 
, two points that satisfy the function are
 and 
. The slope m of the function can be found using the formula 
. Substituting
the given values into this formula yields 
, or  
. Therefore, 
. The value of
b can be found by substituting one of the points into the function. Substituting the values of P and Q from the point
 yields 
, or 
. Adding 10,000 to both sides of this equation
yields 
. Therefore, the linear function the economist used as the model is 
. Substituting
55 for P yields 
. It follows that when the selling price is $55 per unit, the demand is
16,250 units.
Choices B, C, and D are incorrect and may result from calculation or conceptual errors. 
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear functions
Diﬃculty",
686b7244,"ID: 686b7244
A certain apprentice has enrolled in 
 hours of training courses. The equation 
 represents this situation,
where  is the number of on-site training courses and  is the number of online training courses this apprentice has enrolled
in. How many more hours does each online training course take than each on-site training course?
ID: 686b7244 Answer",[],5,"The correct answer is . It's given that the equation 
 represents the situation, where  is the number of on-
site training courses,  is the number of online training courses, and 
 is the total number of hours of training courses the
apprentice has enrolled in. Therefore, 
 represents the number of hours the apprentice has enrolled in on-site training
courses, and 
 represents the number of hours the apprentice has enrolled in online training courses. Since  is the
number of on-site training courses and  is the number of online training courses the apprentice has enrolled in, 
 is the
number of hours each on-site course takes and 
 is the number of hours each online course takes. Subtracting these
numbers gives 
, or  more hours each online training course takes than each on-site training course.
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
b86123af,"ID: b86123af
Hiro and Soﬁa purchased shirts and pants from a store. The price of each shirt
purchased was the same and the price of each pair of pants purchased was the
same. Hiro purchased 4 shirts and 2 pairs of pants for $86, and Soﬁa purchased 3
shirts and 5 pairs of pants for $166. Which of the following systems of linear
equations represents the situation, if x represents the price, in dollars, of each shirt
and y represents the price, in dollars, of each pair of pants?","['A.', 'B.', 'C.', 'D. \nID: b86123af Answer']",A,"Choice A is correct. Hiro purchased 4 shirts and each shirt cost x dollars, so he spent a total of 4x dollars on shirts. Likewise,
Hiro purchased 2 pairs of pants, and each pair of pants cost y dollars, so he spent a total of 2y dollars on pants. Therefore,
the total amount that Hiro spent was 4x + 2y. Since Hiro spent $86 in total, this can be modeled by the equation 4x + 2y = 86.
Using the same reasoning, Soﬁa bought 3 shirts at x dollars each and 5 pairs of pants at y dollars each, so she spent a total
of 3x + 5y dollars on shirts and pants. Since Soﬁa spent $166 in total, this can be modeled by the equation 3x + 5y = 166.
Choice B is incorrect and may be the result of switching the number of shirts Soﬁa purchased with the number of pairs of
pants Hiro purchased. Choice C is incorrect and may be the result of switching the total price each person paid. Choice D is
incorrect and may be the result of switching the total price each person paid as well as switching the number of shirts Soﬁa
purchased with the number of pairs of pants Hiro purchased.
 
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Systems of two
linear equations in
two variables
Diﬃculty
Question Diﬃculty: Easy",
ee846db7,"ID: ee846db7
A store sells two different-sized containers of a certain Greek yogurt. The store’s sales of this Greek yogurt totaled 
dollars last month. The equation 
 represents this situation, where  is the number of smaller
containers sold and  is the number of larger containers sold. According to the equation, which of the following represents
the price, in dollars, of each smaller container?","['A.', 'B.', 'C.', 'D. \nID: ee846db7 Answer']",A,"Choice A is correct. It's given that the store's sales of a certain Greek yogurt totaled 
 dollars last month. It's also
given that the equation 
 represents this situation, where  is the number of smaller containers
sold and  is the number of larger containers sold. Since  represents the number of smaller containers of yogurt sold, the
expression 
 represents the total sales, in dollars, from smaller containers of yogurt. This means that  smaller
containers of yogurt were sold at a price of 
 dollars each. Therefore, according to the equation, 
 represents the
price, in dollars, of each smaller container.
Choice B is incorrect. This expression represents the total sales, in dollars, from selling  larger containers of yogurt.
Choice C is incorrect. This value represents the price, in dollars, of each larger container of yogurt.
Choice D is incorrect. This expression represents the total sales, in dollars, from selling  smaller containers of yogurt.
Question Diﬃculty: Easy
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
5b8a8475,"ID: 5b8a8475
Line  is deﬁned by 
. Line  is perpendicular to line  in the xy-plane. What is the slope of line ?","['A.', 'B.', 'C.', 'D. \nID: 5b8a8475 Answer']",A,"Choice A is correct. It's given that line  is perpendicular to line  in the xy-plane. It follows that the slope of line  is the
opposite reciprocal of the slope of line . The equation for line  is written in slope-intercept form 
, where 
 is
the slope of the line and   is the y-coordinate of the y-intercept of the line. It follows that the slope of line  is . The opposite
reciprocal of a number is 
 divided by the number. Thus, the opposite reciprocal of  is 
. Therefore, the slope of line 
is 
.
Choice B is incorrect and may result from conceptual or calculation errors.
Choice C is incorrect and may result from conceptual or calculation errors.
Choice D is incorrect and may result from conceptual or calculation errors.
Question Diﬃculty: Easy
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
cfe67646,"ID: cfe67646
The point 
 in the xy-plane is a solution to which of the following systems of inequalities?","['A.', 'B.', 'C.', 'D. \n \nID: cfe67646 Answer', 'A.\nAlternate approach: Substituting  for  in the ﬁrst inequality in choice A, \n, yields\xa0\n, which is true. Substituting \nfor  in the second inequality in choice A,\xa0\n, yields\xa0\n, which is true. Since the coordinates of the point\xa0\n make\nthe inequalities \n and\xa0\n true, the point\xa0\n is a solution to the system of inequalities consisting of \n and\xa0\n.\nChoice B is incorrect. This system of inequalities represents all the points in the fourth quadrant, not the ﬁrst quadrant, in the\nxy-plane.\nChoice C is incorrect. This system of inequalities represents all the points in the second quadrant, not the ﬁrst quadrant, in\nthe xy-plane.\nChoice D is incorrect. This system of inequalities represents all the points in the third quadrant, not the ﬁrst quadrant, in the\nxy-plane.\nQuestion Diﬃculty: Easy\nAssessment\nSAT\nTest\nMath\nDomain\nAlgebra\nSkill\nLinear inequalities\nin one or two\nvariables\nDiﬃculty']",A,"Choice A is correct. The given point, 
, is located in the ﬁrst quadrant in the xy-plane. The system of inequalities in
choice A represents all the points in the ﬁrst quadrant in the xy-plane. Therefore, 
 is a solution to the system of
inequalities in choice A.
Alternate approach: Substituting  for  in the ﬁrst inequality in choice A, 
, yields 
, which is true. Substituting 
for  in the second inequality in choice A, 
, yields 
, which is true. Since the coordinates of the point 
 make
the inequalities 
 and 
 true, the point 
 is a solution to the system of inequalities consisting of 
 and 
.
Choice B is incorrect. This system of inequalities represents all the points in the fourth quadrant, not the ﬁrst quadrant, in the
xy-plane.
Choice C is incorrect. This system of inequalities represents all the points in the second quadrant, not the ﬁrst quadrant, in
the xy-plane.
Choice D is incorrect. This system of inequalities represents all the points in the third quadrant, not the ﬁrst quadrant, in the
xy-plane.
Question Diﬃculty: Easy
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear inequalities
in one or two
variables
Diﬃculty",
608eeb6e,"ID: 608eeb6e
 
 The solution to the given system of equations is 
. What is the value of 
?","['A.', 'B.', 'C.', 'D. \nID: 608eeb6e Answer']",C,"Choice C is correct. Adding the second equation of the given system to the ﬁrst equation yields 
, which is equivalent to 
. So the value of 
 is 
.
Choice A is incorrect and may result from conceptual or calculation errors.
Choice B is incorrect. This is the value of 
.
Choice D is incorrect and may result from conceptual or calculation errors.
Question Diﬃculty: Easy
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Systems of two
linear equations in
two variables
Diﬃculty",
be9cb6a2,"ID: be9cb6a2
The cost of renting a backhoe for up to 
 days is 
 for the ﬁrst day and 
 for each additional day. Which of the
following equations gives the cost , in dollars, of renting the backhoe for  days, where  is a positive integer and 
?","['A.', 'B.', 'C.', 'D. \nID: be9cb6a2 Answer']",D,"Choice D is correct. It's given that the cost of renting a backhoe for up to 
 days is 
 for the ﬁrst day and 
 for each
additional day. Therefore, the cost , in dollars, for  days, where 
, is the sum of the cost for the ﬁrst day, 
, and
the cost for the additional 
 days, 
. It follows that 
, which is equivalent to
, or 
.
Choice A is incorrect. This equation represents a situation where the cost of renting a backhoe is 
 for the ﬁrst day and
 for each additional day.
Choice B is incorrect and may result from conceptual or calculation errors.
Choice C is incorrect and may result from conceptual or calculation errors.
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear functions
Diﬃculty",
097e10f5,"ID: 097e10f5
What value of  satisﬁes the equation 
?","['A.', 'B.', 'C.', 'D. \nID: 097e10f5 Answer']",A,"Choice A is correct. Subtracting 
 from both sides of the given equation yields 
. Dividing both sides of this
equation by  yields 
. Therefore, the value of  that satisﬁes the equation 
 is 
.
Choice B is incorrect. This value of  satisﬁes the equation 
.
Choice C is incorrect. This value of  satisﬁes the equation 
.
Choice D is incorrect. This value of  satisﬁes the equation 
.
Question Diﬃculty: Easy
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
one variable
Diﬃculty",
84664a7c,"ID: 84664a7c
The front of a roller-coaster car is at the bottom of a hill and is 15 feet above the
ground. If the front of the roller-coaster car rises at a constant rate of 8 feet per
second, which of the following equations gives the height h, in feet, of the front of
the roller-coaster car s seconds after it starts up the hill?","['A.', 'B.', 'C.', 'D. \nID: 84664a7c Answer']",A,"Choice A is correct. It’s given that the front of the roller-coaster car starts rising when it’s 15 feet above the ground. This
initial height of 15 feet can be represented by a constant term, 15, in an equation. Each second, the front of the roller-coaster
car rises 8 feet, which can be represented by 8s. Thus, the equation 
 gives the height, in feet, of the front of the
roller-coaster car s seconds after it starts up the hill.
Choices B and C are incorrect and may result from conceptual errors in creating a linear equation. Choice D is incorrect and
may result from switching the rate at which the roller-coaster car rises with its initial height.
 
Question Diﬃculty: Easy
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear functions
Diﬃculty",
b0fc3166,"ID: b0fc3166
 The graph of a system of linear equations is shown. What is the solution 
 to the system?","['A.', 'B.', 'C.', 'D. \nID: b0fc3166 Answer']",C,"Choice C is correct. The solution to this system of linear equations is represented by the point that lies on both lines shown,
or the point of intersection of the two lines. According to the graph, the point of intersection occurs when 
 and 
,
or at the point 
. Therefore, the solution 
 to the system is 
.
Choice A is incorrect and may result from conceptual or calculation errors.
Choice B is incorrect and may result from conceptual or calculation errors.
Choice D is incorrect and may result from conceptual or calculation errors.
Question Diﬃculty: Easy",
db422e7f,"ID: db422e7f
Line  is deﬁned by 
. Line  is perpendicular to line  in the xy-plane. What is the slope of line ?
ID: db422e7f Answer",[],,"The correct answer is 
. For an equation in slope-intercept form 
, 
 represents the slope of the line in the xy-
plane deﬁned by this equation. It's given that line  is deﬁned by 
. Subtracting 
 from both sides of this
equation yields 
. Dividing both sides of this equation by  yields 
, or 
. Thus,
the slope of line  is 
. If line  is perpendicular to line , then the slope of line  is the negative reciprocal of the slope of
line . The negative reciprocal of 
 is 
. Note that 1/2 and .5 are examples of ways to enter a correct answer.
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
01682aa5,"ID: 01682aa5
Line  is deﬁned by 
. Line  is perpendicular to line  in the xy-plane. What is the slope of line ?","['A.', 'B.', 'C.', 'D. \nID: 01682aa5 Answer']",C,"Choice C is correct. It’s given that line  is perpendicular to line  in the xy-plane. This means that the slope of line  is the
negative reciprocal of the slope of line . If the equation for line  is rewritten in slope-intercept form 
, where 
and  are constants, then 
 is the slope of the line and 
 is its y-intercept. Subtracting 
 from both sides of the
equation 
 yields 
. Dividing both sides of this equation by  yields 
. It follows
that the slope of line  is 
. The negative reciprocal of a number is 
 divided by the number. Therefore, the negative
reciprocal of 
 is 
, or 
. Thus, the slope of line  is 
.
Choice A is incorrect. This is the slope of line , not line .
Choice B is incorrect. This is the reciprocal, not the negative reciprocal, of the slope of line .
Choice D is incorrect. This is the negative, not the negative reciprocal, of the slope of line .
Question Diﬃculty: Medium
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
45cfb9de,"ID: 45cfb9de
Adam’s school is a 20-minute walk or a 5-minute bus ride away from his house.
The bus runs once every 30 minutes, and the number of minutes, w, that Adam
waits for the bus varies between 0 and 30. Which of the following inequalities gives
the values of w for which it would be faster for Adam to walk to school?","['A.', 'B.', 'C.', 'D. \nID: 45cfb9de Answer']",D,"Choice D is correct. It is given that w is the number of minutes that Adam waits for the bus. The total time it takes Adam to
get to school on a day he takes the bus is the sum of the minutes, w, he waits for the bus and the 5 minutes the bus ride
takes; thus, this time, in minutes, is w + 5. It is also given that the total amount of time it takes Adam to get to school on a
day that he walks is 20 minutes. Therefore, w + 5 > 20 gives the values of w for which it would be faster for Adam to walk to
school.
Choices A and B are incorrect because w – 5 is not the total length of time for Adam to wait for and then take the bus to
school. Choice C is incorrect because the inequality should be true when walking 20 minutes is faster than the time it takes
Adam to wait for and ride the bus, not less.
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear inequalities
in one or two
variables
Diﬃculty",
06fc1726,"ID: 06fc1726
If f is the function deﬁned by 
,
what is the value of 
 ?","['A.', 'B.', 'C. 3', 'D. 9\nID: 06fc1726 Answer']",C,"Choice C is correct. If 
, then 
.
Choice A is incorrect and may result from not multiplying x by 2 in the numerator. Choice B is incorrect and may result from
dividing 2x by 3 and then subtracting 1. Choice D is incorrect and may result from evaluating only the numerator 2x – 1.
 
Question Diﬃculty: Easy
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear functions
Diﬃculty",
